Terminal Code,Customer site.,Address,Postcode 
T091B030B932G262,ธนาคารออมสิน,สาขาทุ่งคอก(G1)  111/11-12 หมู่ที่ 10 ต.ทุ่งคอก อ.สองพี่น้อง จ.สุพรรณบุรี 72190,72190
T003B030BE74G262,ธนาคารออมสิน,บริษัท มหาชัยร่วมใจพัฒนา  1/2 หมู่ 1 ถนนพระราม2 ต.ท่าจีน อ.เมือง จ.สมุทรสาคร 74000,74000
T092B030B048G262,ธนาคารออมสิน,สาขาพระโขนง(G2)  1176 ถ.สุขุมวิท 48 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ 10110,10110
T027B030BE16G262,ธนาคารออมสิน,ร้านการเจริญ 258/16-17 ม.1 ต.หนองรี อ.ลำสนธิ จ.ลพบุรี  15190,15190
T057B030BE84G262,ธนาคารออมสิน,ตลาดบ้านกงตาก 64/1  ม.4  ถ.บ้านกรุด ซอย 10  ต.ช้างซ้าย อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,84160
T092B030B321G262,ธนาคารออมสิน,สาขากาญจนดิษฐ์(G2)  102/2 หมู่ 1 ถ.หน้าอำเภอ ต.กะแดะ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,84160
T091B030B392G262,ธนาคารออมสิน,สาขาเขาย้อย(G1)     120 หมู่ที่ 5  ถ.เพชรเกษม  ต.เขาย้อย อ.เขาย้อย จ.เพชรบุรี 76140,76140
T013B030BE76G262,ธนาคารออมสิน,ร้านอู๋เภสัช 462/1 ถ.บันไดอิฐ ต.บ้านหม้อ อ.เมือง  จ.เพชรบุรี 76000,76000
T092B030B547G262,ธนาคารออมสิน,สาขาสะพานจอมเกล้า(G2)  1  ถ.พงษ์สุริยา ต.ท่าราบ อ.เมืองเพชรบุรี  จ.เพชรบุรี 76000,76000
T515B030BE10G262,ธนาคารออมสิน,7-Eleven สาขาพระยาสุเรนทร์ 42 (14351)    แขวงสามวาตะวันตก อ.คลองสามวา จ.กรุงเทพฯ 10510,10510
T091B030B006G262,ธนาคารออมสิน,สาขาสุราษฎร์ธานี(G1)   490-494 ถ.หน้าเมือง ต.ตลาด อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,84000
T092B030B832G262,ธนาคารออมสิน,สาขาขุนทะเล(G2)  83/12-13 หมู่ที่1 ถ.สุราษฎร์-นาสาร ต.ขุนทะเล อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,84000
T047B030BE84G262,ธนาคารออมสิน,สถาบันการเงินชุมชน ท่าไม้แดง        36/4 หมู่ 3 ต.ปากหมาก อ.ไชยา จ.สุราษฎร์ธานี 84110,84110
T040B030BE70G262,ธนาคารออมสิน,เทศบาลตำบลเขางู 199 หมู่ 13 ต.เกาะพลับพลา อ.เมือง จ.ราชบุรี 70000,70000
T091B030B050G262,ธนาคารออมสิน,สาขาราชบุรี(G1)  207  ถ.วรเดช ต.หน้าเมือง อ.เมืองราชบุรี  จ.ราชบุรี 70000,70000
T091B030B805G262,ธนาคารออมสิน,สาขารอยัลพาร์ค(G1) ขั้น 1 ศูนย์การค้ารอยัลพาร์ค เลขที่ 11/11 ถ.คฑาธร  ต.หน้าเมือง อ.เมืองราชบุรี  จ.ราชบุรี 70000,70000
T139B030BE84G262,ธนาคารออมสิน,บริษัท มยุรี ปิโตรเลียม จำกัด      105 หมู่ 5 ถ.สุราษฎร์-ตะกั่วป่า ต.ถ้ำสิงขร อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี  84180,84180
T091B030B956G262,ธนาคารออมสิน,สาขาบ้านตาขุน(G1)  34/3-4 หมู่ที่ 4 ต.เขาวง อ.บ้านตาขุน จ.สุราษฎร์ธานี 84230,84230
T091B030B381G262,ธนาคารออมสิน,สาขาดอนสัก(G1)       3 หมู่ที่ 5 ถ.ชลคราม ต.ดอนสัก อ.ดอนสัก จ.สุราษฎร์ธานี 84220,84220
T091B030B317G262,ธนาคารออมสิน,สาขาบ้านนาสาร(G1)  45 ถ.วิเวก ต.นาสาร อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,84120
T092B030B924G262,ธนาคารออมสิน,สาขาโคกอุดม(G2)  379/264-266 หมู่ที่ 10 ต.หนองกี่ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,25110
T016B030BE70G262,ธนาคารออมสิน,องค์การบริหารส่วนตำบลดอนแร่       56 หมู่ 1 ต.ดอนแร่ อ.เมือง จ.ราชบุรี   70000,70000
T092B030B133G262,ธนาคารออมสิน,"ธนาคารออมสิน สาขาดำเนินสะดวก(G2) 259 หมู่ที่ 8  ถ.สมุทรสงคราม-บางแพ ต.ดำเนินสะดวก อ.ดำเนินสะดวก จ.ราชบุรี 70130 0-3224-1001, 0-3234-6235",70130
T091B030B133G262,ธนาคารออมสิน,สาขาดำเนินสะดวก(G1)   259 หมู่ที่ 8  ถ.สมุทรสงคราม-บางแพ  ต.ดำเนินสะดวก อ.ดำเนินสะดวก จ.ราชบุรี 70130,70130
T065B030BE84G262,ธนาคารออมสิน,ร้านเขาศกมินิมาร์ท 73/1  ม.6  ต.คลองศก  อ.พนม  จ.สุราษฎร์ธานี 84250,84250
T016B030BE84G262,ธนาคารออมสิน,สถาบันการเงินชุมชนบ้านบางรูป      หมู่ 4 ต.สินเจริญ อ.พระแสง จ.สุราษฎร์ธานี 84210,84210
T091B030B829G262,ธนาคารออมสิน,สาขาบางทราย(G1) 137 หมู่ที่ 3 ต.บางทราย อ.เมืองชลบุรี จ.ชลบุรี 20000,20000
T807B030BE10G262,ธนาคารออมสิน,ตลาด Udomsuk Walk 653 ถ.อุดมสุข แขวงบางจาก เขตพระโขนง จ.กรุงเทพฯ 10260    ,10260
T017B030BE17G262,ธนาคารออมสิน,7-Eleven สาขาสิงห์บุรี (0352)      955/39-40 ขุนสวรรค์ ต.บางพุทรา อ.เมืองสิงห์บุรี จ.สิงห์บุรี 16000,16000
T028B030BE80G262,ธนาคารออมสิน,สถาบันการจัดการเงินทุนชุมชนบ้านบางสะพาน       66/1 หมู่ 7 ถ.พัฒนาการคูขวาง  ต.บางจาก อ.เมือง จ.นครศรีธรรมราช 80330,80330
T092B030B872G262,ธนาคารออมสิน,สาขาโรบินสัน นครศรีธรรมราช(G2)  เลขที่ 89/109-110 ถ.พัฒนาการคูขวาง  ต.คลัง อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,80000
T092B0301076G262,ธนาคารออมสิน,ธนาคารออมสิน สาขาไอคอนสยาม(G2)  ตั้งอยู่ห้องเลขที่ 503-504 ชั้น 5 ศูนย์การค้าไอคอนสยาม เลขที่ 299 ซอยเจริญนคร 5 ถ.เจริญนคร แขวงคลองต้นไทร เขตคลองสาน จ.กรุงเทพฯ 10600,10600
T091B030B626G262,ธนาคารออมสิน,สาขาเดอะพรอมานาด(G1)      ชั้น 3 ห้องเลขที่ 3007 ภายในศูนย์การค้าเดอะพรอมานาด  เลขที่ 589/7-9  ถ.รามอินทรา  แขวงคันนายาว เขตคันนายาว กรุงเทพฯ 10230,10230
T027B030BE18G262,ธนาคารออมสิน,Mini Big C สาขาวัดสิงห์ 11/33 ถ.จวนวิไล ต.วัดสิงห์ อ.วัดสิงห์ จ.ชัยนาท 17120,17120
T092B030B145G262,ธนาคารออมสิน,"ธนาคารออมสิน สาขาชะอำ(G2) 499/34  ถ.เพชรเกษม ต.ชะอำ อ.ชะอำ จ.เพชรบุรี 76120 0-3243-3743, 0-3247-1135",76120
T033B030BE70G262,ธนาคารออมสิน,ร้านแสวงโชคโอสถ  53/2 ม.1  ต.บ้านคา  อ.บ้านคา  จ.ราชบุรี 70180,70180
T092B030B328G262,ธนาคารออมสิน,สาขาท่าศาลา(G2) 263/2 ถ.นครศรีธรรมราช-สุราษฎร์ธานี  ต.ท่าศาลา อ.ท่าศาลา จ.นครศรีธรรมราช 80160,80160
T022B030BE80G262,ธนาคารออมสิน,7-Eleven  สาขาชุมชนหน้าทับ (13245)       ต.ท่าศาลา อ.ท่าศาลา จ.นครศรีธรรมราช 80160,80160
T093B030B328G262,ธนาคารออมสิน,"หน่วยให้บริการมหาวิทยาลัยวลัยลักษณ์(G3)        222, ตำบล ไทยบุรี อำเภอท่าศาลา นครศรีธรรมราช 80161 ",80161
T091B030B472G262,ธนาคารออมสิน,สาขาถนนสุขประยูร(G1) 726/25 ถนนสุขประยูร ตำบลบางปลาสร้อย  อำเภอเมืองชลบุรี ชลบุรี 20000,20000
T091B030B644G262,ธนาคารออมสิน,สาขาเซ็นทรัล ชลบุรี(G1)     171 ชั้น 1 อาคารศูนย์การค้าเซ็นทรัลพลาซา ชลบุรี เลขที่ 55/88-89 ถ.สุขุมวิท ต.เสม็ด อ.เมืองชลบุรี จ.ชลบุรี 20000,20000
T043B030BE20G262,ธนาคารออมสิน,เทสโก้ โลตัสเอ็กซ์เพรส สาขาตลาดแม่ละออ ชลบุรี       52/553-556 หมู่ที่ 12 ตำบลหนองปรือ อำเภอบางละมุง จังหวัดชลบุรี,20150
T091B030B673G262,ธนาคารออมสิน,สาขาเซ็นทรัลเฟสติวัล พัทยาบีช(G1)  ห้องเลขที่ 419 ชั้น 4 ศูนย์การค้าเซ็นทรัลเฟสติวัล พัทยาบีช  เลขที่ 333/99-100 หมู่ที่ 9 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,20150
T091B030B973G262,ธนาคารออมสิน,สาขาด่านมะขามเตี้ย(G1) 5/3 หมู่ที่ 1 ต.ด่านมะขามเตี้ย อ.ด่านมะขามเตี้ย จ.กาญจนบุรี 71260,71260
T028B030BE71G262,ธนาคารออมสิน,หจก.รวมมิตรการเกษตร(ตลาดนัดเจเจ)     286/2 ต.บ้านเหนือ อ.เมือง จ.กาญจนบุรี 71000,71000
T009B030BE80G262,ธนาคารออมสิน,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยวลัยลักษณ์  222 หมู่ 10 ต.ไทยบุรี อ.ท่าศาลา จ.นครศรีธรรมราช 80160,80160
T091B030B955G262,ธนาคารออมสิน,สาขาบางขัน(G1)  99/9 หมู่ที่ 14 ต.บ้านลำนาว อ.บางขัน จ.นครศรีธรรมราช 80360,80360
T091B030B631G262,ธนาคารออมสิน,สาขาพัทยาใต้(G1)      205/23-24 หมู่ที่ 10 ถ.พัทยาสาย 2 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,20150
T092B030B724G262,ธนาคารออมสิน,เครื่องอยู่โกดัง บริษัท กรีน คอนแทร็คท์ จำกัด 25/35 ม.3 ซ.เทพฤกษ์ ถ.เลียบคลองราษฎร์พัฒนา1 ต.คอกกระบือ อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,74000
T092B030B150G262,ธนาคารออมสิน,สาขาท่าม่วง(G2)  241/1 หมู่ที่ 3 ถ.แสงชูโต ต.ท่าม่วง อ.ท่าม่วง จ.กาญจนบุรี 71110,71110
T002B030BE80G262,ธนาคารออมสิน,"7-Eleven สาขาตลาดในเพลา (8946)       26/15,101/4 หมู่ 4 ต.ขนอม  อ.ขนอม จ.นครศรีธรรมราช 80210",80210
T091B030B327G262,ธนาคารออมสิน,สาขาสิชล(G1)  274 หมู่ที่ 1 ถ.สิชล-นครศรีธรรมราช ต.สิชล อ.สิชล จ.นครศรีธรรมราช 80120,80120
T025B030BE80G262,ธนาคารออมสิน,7-Eleven  สาขาหัวไทร  58/1 ม.2 ถ.หัวไทร-นครศรีธรรมราช ต.หัวไทร อ.หัวไทร จ.นครศรีธรรมราช 80170,80170
T091B030B443G262,ธนาคารออมสิน,สาขาบางเขน(G1)       1712-14 ถ.พหลโยธิน แขวงจันทรเกษม  เขตจตุจักร กรุงเทพฯ 10900,10900
T091B030B702G262,ธนาคารออมสิน,สาขาเอสพละนาด รัชดาภิเษก(G1)  ชั้น 2 ศูนย์การค้าเอสพละนาด รัชดาภิเษก  เลขที่ 99 ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพ 10400,10400
T091B030B571G262,ธนาคารออมสิน,สาขาลูกแก(G1)           82 หมู่ที่ 6 ต.ดอนขมิ้น อ.ท่ามะกา จ.กาญจนบุรี 71120,71120
T092B030B152G262,ธนาคารออมสิน,สาขาพนมทวน(G2) 248 หมู่ที่ 3 ถ.อู่ทอง-กาญจนบุรี ต.พนมทวน อ.พนมทวน จ.กาญจนบุรี 71140,71140
T031B030BE80G262,ธนาคารออมสิน,โกดอนมินิมาร์ท 47 หมู่ 1 ต.ขอนหาด อ.ชะอวด จ.นครศรีธรรมราช 80180,80180
T091B030B548G262,ธนาคารออมสิน,สาขาจตุจักร(G1) ภายในกองอำนวยการตลาดนัดจตุจักร  ถ.กำแพงเพชร 2  แขวงลาดยาว เขตจตุจักร กรุงเทพฯ 10900,10900
T091B030B109G262,ธนาคารออมสิน,สาขายุติธรรม(G1)   บริเวณอาคารที่จอดรถศาลอาญา  ถ.รัชดาภิเษก แขวงจอมพล  เขตจตุจักร กรุงเทพฯ 10900,10900
T091B030B160G262,ธนาคารออมสิน,สาขาบางปะกง(G1) 239 หมู่ที่ 10 ถ.สุขุมวิท ต.บางปะกง อ.บางปะกง จ.ฉะเชิงเทรา 24130,24130
T014B030BE82G262,ธนาคารออมสิน,องค์การบริหารส่วนตำบลพรุใน ต.พรุใน อ.เกาะยาว จ.พังงา 83000,83000
T009B030BE82G262,ธนาคารออมสิน,7-Eleven สาขาปตท.บางม่วง (3431)     77 ต.บางม่วง อ.ตะกั่วป่า จ.พังงา 82110,82110
T272B030BE10G262,ธนาคารออมสิน,7-Eleven สาขาลาดปลาเค้า 24 (12029)      แขวงจรเข้บัว เขตลาดพร้าว จ.กรุงเทพฯ 10230,10230
T811B030BE10G262,ธนาคารออมสิน,ตลาดหน้าวัดยายร่ม 7 ถ.พระราม2 แขวงบางมด เขตจอมทอง กทม. 10150,10150
T091B030B082G262,ธนาคารออมสิน,สาขานครนายก(G1) 380 ถ.ศรีเมือง ต.นครนายก อ.เมืองนครนายก จ.นครนายก 26000,26000
T092B030B915G262,ธนาคารออมสิน,สาขานิคมพัฒนา ระยอง(G2)  4/9 หมู่ที่ 2 ต.นิคมพัฒนา อ.นิคมพัฒนา จ.ระยอง 21180,21180
T091B030B522G262,ธนาคารออมสิน,สาขาอ่าวลึก(G1) 3/10 หมู่ที่ 2 ถ.เพชรเกษม ต.อ่าวลึกเหนือ อ.อ่าวลึก จ.กระบี่ 81110,81110
T009B030BE83G262,ธนาคารออมสิน,ตลาดชิลล์วา 141/2 ถ.เยาวราช ต.รัษฎา อ.เมือง จ.ภูเก็ต 83000,83000
T092B030B869G262,ธนาคารออมสิน,สาขาบิ๊กซี บางปะกอก(G2) ห้องเลขที่ 3CR309 ชั้น 3 ห้างบิ๊กซี บางปะกอก  เลขที่ 278 หมู่ที่ 1 ถ.สุขสวัสดิ์ แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพฯ 10140,10140
T092B030B628G262,ธนาคารออมสิน,สาขาบุญสัมพันธ์(G2)   99/6-7 หมู่ที่ 5 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,20150
T053B030BE22G262,ธนาคารออมสิน,7-Eleven สาขาตลาดตะเคียนทอง (จันทบุรี) (14791)     ต.เคียนทอง อ.เขาคิชฌกูฏ จ.จันทบุรี 22210,22210
T092B030B919G262,ธนาคารออมสิน,สาขาถนนพูนผล(G2)  32/168-169 ถ.พูนผล ต.ตลาดเหนือ อ.เมืองภูเก็ต จ.ภูเก็ต 83000,83000
T091B030B964G262,ธนาคารออมสิน,"สาขากะรน(G1) 279, 281 ถ.ปฏัก ต.กะรน อ.เมืองภูเก็ต จ.ภูเก็ต 83100",83100
T031B030BE83G262,ธนาคารออมสิน,สำนักงานขนส่ง จังหวัดภูเก็ต ถ.รัตนโกสิน 200 ปี ถ.รัตนโกสิน 200 ปี อ.เมืองภูเก็ต จ.ภูเก็ต 83000,83000
T681B030BE10G262,ธนาคารออมสิน,เทสโก้ โลตัส เอ็กซ์เพรส สาขาเอื้ออาทร บางเขน (คลองถนน) 90 ซ.เพิ่มสิน 24/1 แขวงคลองถนน เขตสายไหม กรุงเทพฯ 10220,10220
T091B030B672G262,ธนาคารออมสิน,สาขาอนุสรณ์สถานแห่งชาติ(G1) 22/53 หมู่ที่ 6 ถ.พหลโยธิน แขวงสายไหม เขตสายไหม กรุงเทพฯ 10220,10220
T092B030B644G262,ธนาคารออมสิน,สาขาเซ็นทรัล ชลบุรี(G2) 171 ชั้น 1 อาคารศูนย์การค้าเซ็นทรัลพลาซา ชลบุรี เลขที่ 55/88-89 ถ.สุขุมวิท ต.เสม็ด อ.เมืองชลบุรี จ.ชลบุรี 20000,20000
T092B030B747G262,ธนาคารออมสิน,สาขาถนนทัพพระยา(G2)  316/26 หมู่ที่ 12 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,20150
T002B030BE22G262,ธนาคารออมสิน,เทศบาลเมืองท่าช้าง   สนง.เทศบาลเมืองท่าช้าง ถนนรักศักดิ์ธมูล  ต.ท่าช้าง อ.เมือง จ.จันทบุรี,22000
T091B030B942G262,ธนาคารออมสิน,สาขาบิ๊กซี สุขสวัสดิ์(G1) ชั้น 2 ห้องเลขที่ 2CR 203-204  บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด(มหาชน) สาขาสุขสวัสดิ์  เลขที่ 94 หมู่ที่ 18 ถ.สุขสวัสดิ์ ต.บางพึ่ง อ.พระประแดง จ.สมุทรปราการ 10130,10130
T021B030BE73G262,ธนาคารออมสิน,คลองถมคุณาวรรณ 55 ม.7  ถ.มาลัยแมน  ต.ทุ่งกระพังโหม  อ.กำแพงแสน  จ.นครปฐม 73140,73140
T092B0301017G262,ธนาคารออมสิน,สาขาอเวนิว รัชโยธิน(G2) ตั้งอยู่ ชั้น 2 ห้องเลขที่ C205A โครงการ Suzuki Avenue รัชโยธิน เลขที่ 234 ถ.รัชดาภิเษก แขวงจอมพล เขตจตุจักร กรุงเทพฯ 10900,10900
T008B030BE83G262,ธนาคารออมสิน,เทสโก้ โลตัส เอ็กซ์เพรส สาขาตลาดถลาง 310/112-115  หมู่ 1 ตำบลเทพกระษัตรี อำเภอถลาง จังหวัดภูเก็ต  83110,83110
T091B030B921G262,ธนาคารออมสิน,สาขาสี่แยกท่าเรือ(G1) 114/49 หมู่ที่ 5 ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต 83110,83110
T092B030B834G262,ธนาคารออมสิน,สาขาตลาดเก่า(G2) 36-36/1 ถ.ศรีพังงา ต.กระบี่ใหญ่ อ.เมืองกระบี่ จ.กระบี่ 81000,81000
T091B030B907G262,ธนาคารออมสิน,สาขานิคมอุตสาหกรรมอมตะนคร(G1) 700/37 หมู่ที่ 1 ต.คลองตำหรุ อ.เมืองชลบุรี จ.ชลบุรี 20000,20000
T091B030B017G262,ธนาคารออมสิน,สาขาฉะเชิงเทรา(G1) 1-5 ถ.สันติราษฎร์ ต.หน้าเมือง อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,24000
